fact,question,A,B,C,D,commonSense,answer
An example of combining two substances is pouring one substance into the other substance,"If substances are combined by pouring them together, they'll mix, such as",salt and oyster crackers,lettuce and roma tomato,coffee and hazelnut cream,whole milk and cheese,"['An example of combined substances could be cake', 'the object is the substance']",C
a pulley is used to lift a flag on a flagpole,If a flag is adjusted at great heights,something is pulled,something is ravaged,something is burned,something is gold,"['a flag is lifted', 'a banner is a flag']",A
beads of water are formed by water vapor condensing,"Where would you point to as an example of condensation, if limited to an office building?",the beads on a cold root beer can,the pens leaking ink,the vapor rising from the coffee,the sprinkler system above,"['condensing precipitation is condensation', 'water condenses on cold soda cans']",A
if weather is stormy then there is a greater chance of rain,Which of the following is likely to be true?,thunder and lightning indicate that there will be acid rain,wind indicates a chance of rain,fire indicates that there will be rain,thunder and lightning indicate a great chance of rain,"['an umbrella is need when there is a chance of rain', 'stormy weather causes storms']",D
an ecosystem contains large numbers of living organisms in a particular place,Ecosystems,are made up of many plants and lack living animals,are communities with a plethora of living beings,only contain animals of the same species,are present only on certain continents,"['environments are ecosystems', 'an environment is also an ecosystem']",B
"as the supply of food in an environment decreases , the population of animals in that environment will decrease","The more often wildfires take place on a space of land, the more often we will see",animal groups in decline,animal populations growing larger,more birds moving in,larger deer starting families,"['an animal leaving an environment reduces the number of that animal in that space', 'when the number of trees decrease, more sunlight hits the floor of the forest']",A
sugars are transported from the leaves to the roots of a plant,"During photosynthesis, plants produce sugar that may help with their what?",Babies,Love Handles,Belly,sustenance,"['sugar is in plants', 'sugar is found in plants']",D
the thickness of the parts of an organism is an inherited characteristic,"If a bear has thick legs fur, then",her mom was very old,his hair is blonde,her arms are wide,his ancestors had the same,"['Bears have their fur get thick to prepare for winter', 'Polar Bears have thick fur to thrive in cold weather.']",D
raccoons eat waste,Which of these things would cause more racoons to hang out nearby?,shooting them as they come,cutting their hair at night,leaving lids off garbage cans,putting garbage cans inside the garage,"['waste attracts raccoons', 'Raccoons are animals']",C
a compass 's needle lines up with Earth 's magnetic poles,If Earth has poles that are magnetic,needles will glow in the dark because of them,needles will stab them,some poles will be radioactive,needles aim that way,"['compass needles aim towards magnetic poles', ""Earth's magnets pull on compass needles""]",D
crop rotation renews soil,"If peas and carrots are planted alternately,",fields are useless,dirt is refreshed,sand is dried,water is poisoned,"['crop rotation is changing which crops are planted from season to season', 'dirt is soil, which is healthier when crops are rotated']",B
consumers eat other organisms,Consumers eat other what?,oxygen,animal toys,rays,weaker bugs,"['predators eat other animals', 'rabbits are consumers']",D
farming changes the environment,A yard can become a changed environment when,crows show up,humans see it,worms live there,vegetables are farmed,"['farming a yard, such as with a garden, changes that environment', 'logging changes the environment']",D
natural gas is a source of heat by burning,You can produce what by burning natural gas?,snow,a warmer room,oxygen,water,"['natural gas is a source of power', 'if you set fire to the natural gas it will burn']",B
break down means change from a whole into pieces,Chewying and swallowing a steak,serves it hot,breaks it down,losses energy,dies,"['Steak is from an animal', 'deconstructed means breaking down']",B
new land can be formed by volcanoes erupting by lava cooling,What is the source of cooling that turns lava into land?,seawater,refrigerators,air conditioning,glaciers,"['oceans cool the hot lava to make land', 'lava from volcanic eruptions ruin the land around them']",A
smoking causes direct damage to the lungs,Smoking can also effect what besides themselves,wizards,space,Jonny and Susie,unicorns,"['smoking pollutes the air', 'chemical changes can produce smoke']",C
wind causes erosion,Erosion can,Give me a hair cut,Create a beautiful painting,turn a statue to dust,Clean my car windows,"['erosion caused by rain', 'a forceful gale is wind erosion']",C
tearing means changing a whole into pieces,Which is likeliest to be torn by a small child,foil,wood,steel,oil,"['tearing a private document changes it into little pieces', 'foil can be torn']",A
decomposition increases amount of organic matter in soil,Organic mass is gained in the earth by insect,JDZ clones,mushroom farmers,garbage eaters,trash removers,"['life matter is organic', 'organic matter in soil contributes to its fertility']",C
